timestamp,open,high,low,close,volume,close_p1,close_p2,close_p3,close_p4,close_p5,close_p6,close_p7,close_p8,close_p9,close_p10,close_p11
2017-01-09 09:29:00+05:30,84.77,84.77,84.6,84.73,18927,84.6,84.57,84.5,84.53,84.53,84.53,84.9,84.9,85.23,85.1,85.13
2017-01-09 09:30:00+05:30,84.73,84.77,84.6,84.6,14922,84.57,84.5,84.53,84.53,84.53,84.9,84.9,85.23,85.1,85.13,85.1
2017-01-09 09:31:00+05:30,84.6,84.63,84.57,84.57,6264,84.5,84.53,84.53,84.53,84.9,84.9,85.23,85.1,85.13,85.1,84.93
2017-01-09 09:32:00+05:30,84.57,84.6,84.5,84.5,5028,84.53,84.53,84.53,84.9,84.9,85.23,85.1,85.13,85.1,84.93,84.93
2017-01-09 09:33:00+05:30,84.47,84.53,84.47,84.53,4203,84.53,84.53,84.9,84.9,85.23,85.1,85.13,85.1,84.93,84.93,84.97
2017-01-09 09:34:00+05:30,84.53,84.57,84.5,84.53,10631,84.53,84.9,84.9,85.23,85.1,85.13,85.1,84.93,84.93,84.97,84.97
2017-01-09 09:35:00+05:30,84.53,84.57,84.5,84.53,9590,84.9,84.9,85.23,85.1,85.13,85.1,84.93,84.93,84.97,84.97,85.07
2017-01-09 09:36:00+05:30,84.57,84.93,84.57,84.9,32370,84.9,85.23,85.1,85.13,85.1,84.93,84.93,84.97,84.97,85.07,85
2017-01-09 09:37:00+05:30,84.9,84.93,84.8,84.9,34973,85.23,85.1,85.13,85.1,84.93,84.93,84.97,84.97,85.07,85,84.97
2017-01-09 09:38:00+05:30,84.9,85.33,84.87,85.23,83703,85.1,85.13,85.1,84.93,84.93,84.97,84.97,85.07,85,84.97,85.03
2017-01-09 09:39:00+05:30,85.23,85.23,85,85.1,55241,85.13,85.1,84.93,84.93,84.97,84.97,85.07,85,84.97,85.03,85.07
2017-01-09 09:40:00+05:30,85.1,85.2,84.93,85.13,33749,85.1,84.93,84.93,84.97,84.97,85.07,85,84.97,85.03,85.07,85.17
2017-01-09 09:41:00+05:30,85.2,85.2,85,85.1,30510,84.93,84.93,84.97,84.97,85.07,85,84.97,85.03,85.07,85.17,85.23
2017-01-09 09:42:00+05:30,85.13,85.13,84.93,84.93,21156,84.93,84.97,84.97,85.07,85,84.97,85.03,85.07,85.17,85.23,85.33
2017-01-09 09:43:00+05:30,84.97,85,84.8,84.93,24408,84.97,84.97,85.07,85,84.97,85.03,85.07,85.17,85.23,85.33,85.2
